               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10814,            0.068695,            0.038281,            0.013591,             0.55164,            0.032842,           0.0074838,            0.095048,             0.07896,            0.038661,            0.070789,           0.0032456,           0.0032456
                   1,            0.085349,            0.081915,            0.034195,             0.44085,               0.154,            0.072877,            0.021784,            0.083599,            0.082959,            0.039142,            0.040768,           0.0065572,           0.0065572
                   2,             0.07919,            0.071609,            0.029759,            0.065145,             0.44986,            0.073982,            0.016384,            0.092329,            0.080376,            0.044015,            0.010724,           0.0098469,           0.0098469
                   3,            0.079742,            0.072777,            0.031486,             0.46839,             0.24264,             0.13515,             0.03175,            0.088628,            0.066579,            0.037679,            0.009901,            0.009901,            0.009901
                   4,            0.076963,            0.081811,            0.028785,             0.58407,              0.2597,             0.22736,            0.061853,            0.078198,            0.067997,            0.033801,            0.009901,            0.009901,            0.009901
                   5,            0.071756,            0.081864,            0.028162,             0.60339,             0.21224,             0.19856,            0.075898,            0.075682,             0.06526,            0.030459,            0.009868,            0.009868,            0.009868
                   6,            0.067253,            0.075136,            0.024852,             0.53264,             0.24706,             0.16648,            0.055617,            0.071302,            0.066534,            0.028196,            0.009835,            0.009835,            0.009835
                   7,            0.064365,            0.064522,            0.022704,             0.56658,             0.31762,             0.26129,             0.10472,             0.06692,            0.064579,            0.027136,            0.009802,            0.009802,            0.009802
                   8,             0.06902,            0.073464,            0.020702,             0.61491,             0.37015,             0.33134,             0.12688,            0.060808,            0.063502,            0.024456,            0.009769,            0.009769,            0.009769
                   9,            0.059558,             0.06759,            0.018187,             0.64867,             0.40991,              0.3787,             0.17047,            0.058206,            0.063939,            0.021598,            0.009736,            0.009736,            0.009736
                  10,            0.053512,            0.069426,            0.016129,             0.69757,              0.4192,             0.42885,             0.20235,            0.054198,            0.063823,            0.019822,            0.009703,            0.009703,            0.009703
                  11,             0.05566,            0.069382,            0.014544,             0.69498,             0.40656,             0.41482,             0.19097,            0.055194,            0.064087,            0.019986,             0.00967,             0.00967,             0.00967
                  12,            0.054178,            0.065592,            0.012697,             0.59715,             0.37987,             0.29972,             0.12701,            0.059716,            0.062483,            0.019261,            0.009637,            0.009637,            0.009637
                  13,            0.057347,            0.065724,            0.012357,             0.69697,             0.42918,             0.41794,             0.20599,            0.052973,            0.062574,            0.018513,            0.009604,            0.009604,            0.009604
