               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10218,            0.079477,            0.039013,             0.12211,             0.19258,            0.095511,            0.026423,            0.080826,            0.086033,            0.037553,            0.070789,           0.0032456,           0.0032456
                   1,             0.07471,             0.08949,            0.033589,              0.4496,             0.21332,             0.11596,            0.032722,             0.07623,            0.081902,            0.036066,            0.040768,           0.0065572,           0.0065572
                   2,            0.077796,            0.084114,            0.030316,             0.08753,             0.32913,             0.10723,            0.030356,            0.083623,            0.064645,            0.037382,            0.010724,           0.0098469,           0.0098469
                   3,            0.072477,            0.062033,            0.027437,             0.45541,             0.16409,             0.12799,            0.040419,            0.077288,            0.057033,            0.036535,            0.009901,            0.009901,            0.009901
                   4,            0.072843,            0.066592,            0.028136,             0.53342,             0.30963,             0.27063,             0.11513,            0.068881,            0.057543,            0.032512,            0.009901,            0.009901,            0.009901
                   5,            0.064001,             0.06776,            0.026211,             0.70214,               0.386,             0.43788,             0.13729,            0.066145,            0.057239,             0.02898,            0.009868,            0.009868,            0.009868
                   6,            0.065441,            0.063444,            0.022691,             0.50522,             0.49155,             0.32575,             0.12259,            0.069377,             0.05737,            0.027297,            0.009835,            0.009835,            0.009835
                   7,            0.062437,            0.062114,            0.023243,             0.57432,             0.46236,             0.31768,              0.1176,            0.067326,            0.056908,            0.023622,            0.009802,            0.009802,            0.009802
                   8,            0.064514,            0.056196,            0.019196,             0.66318,             0.45135,             0.42061,             0.17346,            0.056434,            0.056625,            0.020965,            0.009769,            0.009769,            0.009769
                   9,            0.053683,            0.061374,            0.016391,             0.68291,             0.49327,             0.46219,              0.1814,            0.057203,            0.056086,            0.019405,            0.009736,            0.009736,            0.009736
                  10,            0.056542,            0.062374,              0.0143,             0.80789,             0.53437,             0.54533,             0.22991,            0.053001,             0.05675,            0.018347,            0.009703,            0.009703,            0.009703
                  11,            0.057587,            0.063167,            0.015456,             0.84057,              0.4804,             0.55758,             0.24237,            0.052856,            0.056406,            0.017704,             0.00967,             0.00967,             0.00967
                  12,            0.052316,            0.060669,            0.013978,             0.72355,             0.46421,             0.49778,             0.21734,            0.054044,            0.056883,            0.017284,            0.009637,            0.009637,            0.009637
                  13,            0.052277,            0.066333,            0.012433,             0.75899,             0.53382,              0.5604,              0.2441,            0.047893,            0.056889,             0.01631,            0.009604,            0.009604,            0.009604
                  14,            0.051248,            0.062515,             0.01172,             0.73806,             0.51842,             0.54056,             0.27963,            0.047578,            0.057825,            0.016211,            0.009571,            0.009571,            0.009571
